Scope,TP_R,AvgCapture,MedianCapture,LeftOnTableAvgR,LeftOnTableCount,LeftOnTablePct,WinnersAboveTPx2,WinnersAboveTPx2Pct
GLOBAL,4,0.8600,0.9037,0.8524,336,1.0000,14,0.0417
B-BTCUSDT,4,0.8908,0.9173,0.5423,42,1.0000,0,0.0000
B-ETHUSDT,4,0.8455,0.8849,0.8945,41,1.0000,2,0.0488
B-XRPUSDT,4,0.8210,0.8908,1.2102,35,1.0000,2,0.0571
B-LTCUSDT,4,0.8669,0.9111,0.7557,34,1.0000,1,0.0294
B-BCHUSDT,4,0.8629,0.9220,1.0249,20,1.0000,1,0.0500
B-ADAUSDT,4,0.8618,0.8929,0.8015,19,1.0000,1,0.0526
B-TRXUSDT,4,0.8334,0.8424,0.9362,26,1.0000,1,0.0385
B-XLMUSDT,4,0.8822,0.9321,0.7209,20,1.0000,1,0.0500
B-IOTAUSDT,4,0.8637,0.8806,0.7062,28,1.0000,0,0.0000
B-XMRUSDT,4,0.8185,0.9624,1.5428,11,1.0000,2,0.1818
B-DASHUSDT,4,0.9221,0.9491,0.3664,16,1.0000,0,0.0000
B-ZECUSDT,4,0.8608,0.8775,0.8639,16,1.0000,1,0.0625
B-NEOUSDT,4,0.8574,0.9250,0.9999,28,1.0000,2,0.0714