Scope,N,Mean,Median,StdDev,Min,Max,Skewness,ExcessKurtosis,JarqueBera,FatTailed,Normal,P5,P10,P25,P50,P75,P90,P95
GLOBAL_R,943,2.0241,-1.0000,4.3983,-1.0000,8.7500,0.8012,-1.3112,168.4454,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500,8.7500
GLOBAL_MFE,943,2.7913,1.4438,3.0919,0.0000,44.6822,3.7132,39.0913,62209.6464,YES,NO,0.0388,0.1423,0.4758,1.4438,5.1775,5.9723,7.0822
GLOBAL_MAE,943,1.1355,1.0685,1.6136,0.0000,34.0309,13.4744,240.0126,2291972.3217,YES,NO,0.0265,0.1364,0.5594,1.0685,1.2801,1.7121,2.2519
B-BTCUSDT_R,92,2.7853,-1.0000,4.6870,-1.0000,8.7500,0.4462,-1.8253,15.8237,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500,8.7500
B-BTCUSDT_MFE,92,3.0544,2.7039,2.4380,0.0000,9.1110,0.2165,-1.4320,8.5796,NO,NO,0.2733,0.3358,0.6262,2.7039,5.2414,5.8291,6.1677
B-BTCUSDT_MAE,92,1.4092,1.0464,3.5743,0.0000,34.0309,8.4469,76.6719,23628.5784,YES,NO,0.0304,0.1159,0.4797,1.0464,1.2956,1.6232,2.4845
B-ETHUSDT_R,91,2.7830,-1.0000,4.5793,-1.0000,8.7500,0.4273,-1.8015,15.0749,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500,8.7500
B-ETHUSDT_MFE,91,3.1960,2.7087,2.4868,0.0291,8.4861,0.2209,-1.4602,8.8247,NO,NO,0.1722,0.2758,0.7692,2.7087,5.3513,6.2337,7.0449
B-ETHUSDT_MAE,91,1.0063,1.0184,0.8627,0.0000,6.8902,3.5928,22.7854,2164.3033,YES,NO,0.0396,0.1602,0.4285,1.0184,1.2825,1.8559,2.0330
B-XRPUSDT_R,91,2.4505,-1.0000,4.5543,-1.0000,8.7500,0.5892,-1.6541,15.6407,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500,8.7500
B-XRPUSDT_MFE,91,3.3019,2.0557,3.7331,0.0000,27.6665,3.2486,18.6404,1477.5279,YES,NO,0.1313,0.2549,0.5703,2.0557,5.3682,6.5572,7.5563
B-XRPUSDT_MAE,91,1.0510,1.0551,0.6735,0.0000,3.6848,1.2360,3.2621,63.5189,YES,NO,0.1491,0.2438,0.5478,1.0551,1.2986,1.7151,2.0961
B-LTCUSDT_R,69,3.3370,-1.0000,4.6729,-1.0000,8.7500,0.1994,-1.9604,11.5064,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500,8.7500
B-LTCUSDT_MFE,69,3.2015,4.5190,2.8458,0.0000,11.1174,0.2904,-1.0762,4.2996,NO,YES,0.0383,0.0875,0.3260,4.5190,5.4326,6.1627,7.0103
B-LTCUSDT_MAE,69,0.9618,1.0109,1.0668,0.0000,7.2573,3.4697,17.4153,1010.4138,YES,NO,0.0234,0.0668,0.2548,1.0109,1.1426,1.4272,2.6341
B-BCHUSDT_R,66,1.7311,-1.0000,4.3537,-1.0000,8.7500,0.9673,-1.0894,13.5565,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.4375,8.7500,8.7500
B-BCHUSDT_MFE,66,2.8189,1.8925,2.9037,0.0000,13.7645,1.3325,1.9578,30.0732,YES,NO,0.0053,0.0552,0.5228,1.8925,5.1777,6.7352,7.6725
B-BCHUSDT_MAE,66,1.0793,1.0703,0.7004,0.0000,4.6860,2.0503,9.9260,317.1889,YES,NO,0.0366,0.1665,0.8111,1.0703,1.3009,1.5597,1.9481
B-ADAUSDT_R,56,1.8705,-1.0000,4.4164,-1.0000,8.7500,0.8885,-1.2506,11.0177,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500,8.7500
B-ADAUSDT_MFE,56,2.4614,0.8399,2.8318,0.0000,9.5594,0.9640,-0.3710,8.9953,NO,NO,0.0314,0.0854,0.2209,0.8399,5.1296,6.1509,8.5429
B-ADAUSDT_MAE,56,0.9394,1.0530,0.5548,0.0000,2.0571,-0.2082,-0.7118,1.5868,NO,YES,0.0281,0.0604,0.4111,1.0530,1.2539,1.5397,1.8591
B-TRXUSDT_R,85,1.5176,-1.0000,4.1182,-1.0000,8.7500,1.0737,-0.7781,18.4770,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,5.0000,8.7500,8.7500
B-TRXUSDT_MFE,85,2.4751,1.2350,2.4730,0.0000,9.2241,0.8199,-0.6210,10.8893,NO,NO,0.0624,0.1215,0.4293,1.2350,5.1713,5.9264,6.5970
B-TRXUSDT_MAE,85,1.0853,1.0902,0.7239,0.0000,3.9270,1.2697,3.3589,62.7973,YES,NO,0.0438,0.1775,0.5077,1.0902,1.2984,1.7407,2.4530
B-XLMUSDT_R,78,1.0769,-1.0000,3.9814,-1.0000,8.7500,1.3966,-0.0257,25.3601,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500
B-XLMUSDT_MFE,78,2.7556,0.9078,5.4828,0.0000,44.6822,5.9564,43.9291,6732.9543,YES,NO,0.0000,0.0737,0.3942,0.9078,4.3438,5.6999,6.8626
B-XLMUSDT_MAE,78,1.1657,1.0995,0.9576,0.0000,8.2878,5.3051,39.0732,5327.6831,YES,NO,0.0892,0.3752,1.0150,1.0995,1.2646,1.6463,1.9722
B-IOTAUSDT_R,76,2.0592,-1.0000,4.4403,-1.0000,8.7500,0.7766,-1.4113,13.9462,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500,8.7500
B-IOTAUSDT_MFE,76,2.6573,1.2594,2.6686,0.0000,12.1762,0.9668,0.5582,12.8272,YES,NO,0.0685,0.1119,0.4623,1.2594,5.1089,5.6539,6.4615
B-IOTAUSDT_MAE,76,1.1345,1.0692,1.7187,0.0000,14.7937,6.7517,53.1321,9516.9824,YES,NO,0.0479,0.1199,0.3320,1.0692,1.2803,1.5639,1.8950
B-XMRUSDT_R,32,1.7422,-1.0000,4.4538,-1.0000,8.7500,0.9741,-1.1654,6.8713,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500,8.7500
B-XMRUSDT_MFE,32,2.8182,1.3994,2.9356,0.0165,10.9070,1.1181,0.5525,7.0751,YES,NO,0.0958,0.1157,0.4459,1.3994,5.1162,6.4373,8.2233
B-XMRUSDT_MAE,32,0.9629,1.0951,0.5637,0.0000,2.4750,0.0413,0.3934,0.2154,YES,YES,0.0000,0.0871,0.4683,1.0951,1.1866,1.4194,1.6978
B-DASHUSDT_R,54,1.5648,-1.0000,4.0838,-1.0000,8.7500,1.0207,-0.8843,11.1350,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,5.0000,8.7500,8.7500
B-DASHUSDT_MFE,54,2.5609,1.0427,2.9303,0.0000,12.7128,1.4024,1.6640,23.9297,YES,NO,0.0219,0.1124,0.4620,1.0427,5.1245,5.6583,7.8480
B-DASHUSDT_MAE,54,1.4196,1.0576,3.3280,0.0000,25.1267,6.8741,49.2406,5880.7158,YES,NO,0.0000,0.1319,0.6414,1.0576,1.2130,1.5311,1.8604
B-ZECUSDT_R,69,0.8370,-1.0000,3.8405,-1.0000,8.7500,1.5940,0.5637,30.1344,YES,NO,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500
B-ZECUSDT_MFE,69,2.0140,0.9760,2.2236,0.0000,9.7420,1.2741,0.8482,20.7358,YES,NO,0.1160,0.1947,0.3839,0.9760,3.1383,5.3056,6.0136
B-ZECUSDT_MAE,69,1.2754,1.1173,0.7734,0.0000,4.3500,1.8871,5.7183,134.9662,YES,NO,0.1126,0.6635,1.0067,1.1173,1.3493,1.9333,2.7424
B-NEOUSDT_R,84,1.8988,-1.0000,4.3933,-1.0000,8.7500,0.8682,-1.2542,16.0585,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500,8.7500
B-NEOUSDT_MFE,84,2.6240,1.3984,2.6274,0.0000,12.7997,1.1561,1.3723,25.3034,YES,NO,0.0430,0.2167,0.5211,1.3984,5.1390,5.5825,6.5134
B-NEOUSDT_MAE,84,1.1765,1.1264,0.8626,0.0000,6.0544,2.5008,11.8303,577.3990,YES,NO,0.0487,0.1794,0.8651,1.1264,1.4166,1.7735,2.4893